,Time for HR (s),HR (BPM),Avg HR (BPM)
0,0.152,70.09345794392523,68.82095252618255
1,1.008,70.75471698113206,68.8753940469157
2,1.856,69.44444444444444,68.93088794258716
3,2.72,69.44444444444446,69.01258728899239
4,3.584,69.44444444444441,69.05226982867494
5,4.448,66.96428571428572,69.06525009866455
6,5.344,65.21739130434783,69.11485327326773
7,6.264,65.78947368421053,69.1866522361716
8,7.176,66.3716814159292,69.2470095514782
9,8.08,67.56756756756758,69.32144508203812
10,8.968,69.44444444444439,69.3986651592582
11,9.832,70.09345794392524,69.43834769894075
12,10.688,68.18181818181826,69.45157287968487
13,11.568,67.56756756756758,69.51650794461995
14,12.456,70.09345794392524,69.5670257521471
15,13.312,68.80733944954129,69.59372802184002
16,14.184,67.56756756756758,69.64615266142062
17,15.072,70.0934579439251,69.73710900237697
18,15.928,68.80733944954129,69.73710900237697
19,16.8,68.80733944954129,69.76283137226464
20,17.672,68.80733944954129,69.7885537421523
21,18.544,68.80733944954129,69.84097838173292
22,19.416,69.44444444444439,69.97998310789362
23,20.28,70.09345794392539,70.13748597158205
24,21.136,72.81553398058239,70.29811681270355
25,21.96,72.8155339805827,70.38819788566921
26,22.784,73.52941176470566,70.50148024194222
27,23.6,73.52941176470598,70.57153441717107
28,24.416,71.42857142857144,70.65323376357631
29,25.256,70.09345794392539,70.7494933895389
30,26.112,69.44444444444439,70.81691518026166
31,26.976,68.80733944954129,70.91993715828363
32,27.848,68.80733944954129,71.07190001180832
33,28.72,70.0934579439251,71.18468196669555
34,29.576,71.42857142857144,71.2723426779996
35,30.416,71.42857142857144,71.3773020062599
36,31.256,70.75471698113216,71.4307208096787
37,32.104,71.42857142857113,71.41774053968909
38,32.944,70.09345794392569,71.45597333493123
39,33.8,71.42857142857113,71.54692967588757
40,34.64,71.42857142857174,71.54692967588758
41,35.48,72.11538461538456,71.57265204577524
42,36.312,70.0934579439251,71.63639503404653
43,37.168,70.0934579439251,71.61067266415887
44,38.024,70.0934579439251,71.61067266415887
45,38.88,71.42857142857174,71.63639503404654
46,39.72,75.75757575757561,71.63639503404653
47,40.512,77.31958762886636,71.66211740393422
48,41.288,78.12499999999993,71.71553620735303
49,42.056,77.31958762886565,71.78425528376863
50,42.832,75.75757575757561,71.81309311900847
